comparison,reference_model,candidate_model,horizon_s,position_rmse_m_per_log_macro_gain_percent,velocity_rmse_m_s_per_log_macro_gain_percent,attitude_rmse_deg_per_log_macro_gain_percent,body_rate_rmse_rad_s_per_log_macro_gain_percent
versus_ridge_no_control,ridge_no_control,main_v1_history_controlled_multistep,0.1,8.194430168020006,16.390927107811947,7.634785802442761,8.35186209337498
versus_ridge_no_control,ridge_no_control,main_v1_history_controlled_multistep,0.2,18.970143741145435,18.432047724809916,10.457097357483311,5.470960169682636
versus_ridge_no_control,ridge_no_control,main_v1_history_controlled_multistep,0.5,21.215762743003705,8.153608952748883,-6.417828705329591,5.199234053166424
versus_ridge_no_control,ridge_no_control,main_v1_history_controlled_multistep,1.0,15.249135164152953,4.259729055964687,-12.526476114950082,5.673271725408285
versus_ridge_no_control,ridge_no_control,main_v1_history_controlled_multistep,2.0,3.0048628385795815,-5.020130790494643,-25.807680997720755,5.376259831007862
history_no_control_versus_ridge,ridge_no_control,history_no_control_multistep,0.1,0.29368774643501117,0.22535593430665182,9.606896410757308,8.831307253777808
history_no_control_versus_ridge,ridge_no_control,history_no_control_multistep,0.2,9.024294173284666,16.70168691106561,20.574739063384296,6.621572300631871
history_no_control_versus_ridge,ridge_no_control,history_no_control_multistep,0.5,24.95641216304969,21.56246703030097,13.234915628493301,4.246598956474148
history_no_control_versus_ridge,ridge_no_control,history_no_control_multistep,1.0,25.158560744707604,13.625132173512998,11.260377078151052,3.6335601963149493
history_no_control_versus_ridge,ridge_no_control,history_no_control_multistep,2.0,13.711293801017998,5.015109889696409,6.732597300036438,4.356090679291333
history_gain,no_history_controlled_multistep,main_v1_history_controlled_multistep,0.1,14.018015585339487,20.253033229423746,10.852371401227947,4.549742878886477
history_gain,no_history_controlled_multistep,main_v1_history_controlled_multistep,0.2,17.023356582505002,9.324223215524293,6.98958887443871,8.186895749228958
history_gain,no_history_controlled_multistep,main_v1_history_controlled_multistep,0.5,8.85294095984712,0.7302874960033384,0.09591493544757458,4.522565377915255
history_gain,no_history_controlled_multistep,main_v1_history_controlled_multistep,1.0,4.24246560666046,3.1725711545592783,1.615351535194187,2.498963001511376
history_gain,no_history_controlled_multistep,main_v1_history_controlled_multistep,2.0,5.891197106991465,6.366409918152736,2.6012388796929353,1.6999305206329518
control_gain,history_no_control_multistep,main_v1_history_controlled_multistep,0.1,7.924014280552738,16.20208353022197,-2.1817047208336375,-0.525887940213659
control_gain,history_no_control_multistep,main_v1_history_controlled_multistep,0.2,10.932423637146583,2.0773059496377395,-12.738569047919443,-1.2322033678416942
control_gain,history_no_control_multistep,main_v1_history_controlled_multistep,0.5,-4.984635633591267,-17.09495131971071,-22.650521780944377,0.9948838227263005
control_gain,history_no_control_multistep,main_v1_history_controlled_multistep,1.0,-13.240559881207671,-10.842740895837753,-26.805222300808847,2.116620198119363
control_gain,history_no_control_multistep,main_v1_history_controlled_multistep,2.0,-12.407685123646838,-10.565091635666867,-34.88922962981782,1.066632636580909
multistep_objective_gain,history_controlled_local,main_v1_history_controlled_multistep,0.1,-20.79867442960182,-17.60356171112146,9.82819257183097,30.0205060276398
multistep_objective_gain,history_controlled_local,main_v1_history_controlled_multistep,0.2,16.999955185213953,32.02310609751973,15.269406754133724,31.202847974047923
multistep_objective_gain,history_controlled_local,main_v1_history_controlled_multistep,0.5,27.97999683004619,18.909097428473935,-0.9685633359799496,31.91132668739174
multistep_objective_gain,history_controlled_local,main_v1_history_controlled_multistep,1.0,23.319595756297073,11.951050160264613,3.0924118441809982,31.347778088713948
multistep_objective_gain,history_controlled_local,main_v1_history_controlled_multistep,2.0,11.898237253918275,-1.3678295988135178,-6.369038732187489,28.646694582567704
